,Date,HomeTeam,AwayTeam,FTR,HWDL,HGS,HGA,HRC,AWDL,AGS,AGA,ARC,H2hWDL,H2hGS,H2hGA,H2hRC
0,2016-04-02,Aston Villa,Chelsea,,-6.0,2.0,18.0,0.0,3.0,13.0,7.0,1.0,-4.0,4.0,11.0,1.0
0,2016-04-02,Arsenal,Watford,,1.0,11.0,8.0,1.0,-3.0,3.0,6.0,0.0,3.0,8.0,1.0,0.0
0,2016-04-02,Bournemouth,Man City,,1.0,9.0,9.0,0.0,-3.0,6.0,9.0,0.0,-1.0,1.0,5.0,0.0
0,2016-04-02,Norwich,Newcastle,,-2.0,4.0,6.0,0.0,-3.0,4.0,11.0,0.0,-4.0,3.0,10.0,1.0
0,2016-04-02,Stoke,Swansea,,3.0,10.0,6.0,0.0,0.0,7.0,7.0,0.0,0.0,8.0,10.0,1.0
0,2016-04-02,Sunderland,West Brom,,0.0,8.0,8.0,0.0,1.0,7.0,6.0,0.0,-2.0,5.0,8.0,0.0
0,2016-04-02,West Ham,Crystal Palace,,2.0,9.0,7.0,0.0,-4.0,7.0,11.0,0.0,-1.0,7.0,7.0,0.0
0,2016-04-02,Liverpool,Tottenham,,1.0,15.0,8.0,1.0,3.0,11.0,5.0,0.0,5.0,18.0,4.0,0.0
0,2016-04-03,Leicester,Southampton,,3.0,7.0,4.0,1.0,1.0,8.0,8.0,2.0,0.0,4.0,4.0,0.0
0,2016-04-03,Man United,Everton,,1.0,7.0,6.0,1.0,0.0,11.0,7.0,1.0,0.0,7.0,7.0,0.0
